tpa = 144, tpv=254;;;;;;;;;;
;;;;;;;;;;
dP = 115, sl=220;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (19h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;135,806075;0;100,968501;1;0;74,474299;0;0;0;0
04/01/06;148,883375;0;157,924573;1;0;175,156911;0;0;0;0
05/01/06;30,572136;0;30,572136;0;0;13,102344;0;0;0;0
06/01/06;284,879474;0;191,156816;1;0;337,472608;0;0;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;13,003901;0;13,003901;0;0;91,027308;0;0;0;0
10/01/06;56,374675;0;56,374675;0;0;82,393755;0;0;0;0
11/01/06;142,651297;0;142,651297;0;0;177,233429;0;0;0;0
12/01/06;-231,991981;0;-231,991981;0;0;-201,918946;0;0;0;0
13/01/06;99,223469;0;99,223469;0;0;155,306299;0;0;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-77,209036;0;-77,209036;0;0;-64,340864;0;0;0;0
17/01/06;-215,703192;0;-215,703192;0;0;-228,645384;0;0;0;0
18/01/06;-100,087032;0;-100,087032;0;0;-100,087032;0;0;0;0
19/01/06;-127,659574;0;-127,659574;0;0;-88,041086;0;0;0;0
20/01/06;-74,955908;0;-74,955908;0;0;-79,365079;0;0;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;-65,655092;0;-65,655092;0;0;-43,770061;0;0;0;0
24/01/06;128,110735;0;128,110735;0;0;150,198793;0;0;0;0
25/01/06;225,333557;1;225,333557;1;0;228,471909;1;0;0;0
26/01/06;-139,494333;0;-139,494333;0;0;-122,057541;0;0;0;0
27/01/06;249,504741;1;249,504741;1;0;249,317012;1;0;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;-35,144238;0;-35,144238;0;0;-17,572119;0;0;0;0
31/01/06;140,741827;0;140,741827;0;0;153,936373;0;0;0;0
01/02/06;-117,664149;0;-117,664149;0;0;-156,885532;0;0;0;0
02/02/06;170,628555;0;170,628555;0;0;196,879102;0;0;0;0
03/02/06;-186,631944;0;-186,631944;0;0;-177,951389;0;0;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-74,648712;0;-74,648712;0;0;-74,648712;0;0;0;0
07/02/06;-83,284629;0;-83,284629;0;0;-96,434833;0;0;0;0
08/02/06;-26,517384;0;-26,517384;0;0;8,839128;0;0;0;0
